Drug	Drug_id	Drug_type	Drug_type_id
Camsirubicin	C4048876	antibiotic	null
nafcillin	C0027324	antibiotic	null
griseofulvin microsize	C0304315	antibiotic	null
imipenem	C0020933	antibiotic	null
Candicidin	C0006834	antibiotic	null
Levorin	C0878209	antibiotic	null
josamycin	C0022419	antibiotic	null
solithromycin	C3655918	antibiotic	null
tilmicosin	C0076681	antibiotic	null
miocamycin	C0026202	antibiotic	null
floxacillin	C0016267	antibiotic	null
rifabutin	C0140575	antibiotic	null
dicloxacillin	C0012093	antibiotic	null
rifapentine	C0073372	antibiotic	null
avibactam	C3489748	antibiotic	null
relebactam anhydrous	C4519897	antibiotic	null
spiramycin	C0037962	antibiotic	null
azlocillin	C0004499	antibiotic	null
benzylpenicilloyl polylysine	C0053327	antibiotic	null
cloxacillin	C0009077	antibiotic	null
penicillin V	C0030840	antibiotic	null
Oracillin	C4256073	antibiotic	null
hetacillin	C0062587	antibiotic	null
mezlocillin	C0025893	antibiotic	null
cyclacillin	C0010523	antibiotic	null
carbenicillin indanyl	C0054667	antibiotic	null
amdinocillin	C0002435	antibiotic	null
bacampicillin	C0052865	antibiotic	null
methicillin	C0025643	antibiotic	null
pivampicillin	C0032032	antibiotic	null
amdinocillin pivoxil	C0002436	antibiotic	null
ticarcillin	C0040193	antibiotic	null
temocillin	C0076079	antibiotic	null
besifloxacin	C2351042	antibiotic	null
phenethicillin	C0070557	antibiotic	null
dibekacin	C0012024	antibiotic	null
clavulanic acid	C0055860	antibiotic	null
spectinomycin	C0001268	antibiotic	null
biapenem	C0209475	antibiotic	null
mupirocin	C0085259	antibiotic	null
fosmidomycin	C0060694	antibiotic	null
thiamphenicol	C0039854	antibiotic	null
fidaxomicin	C0065023	antibiotic	null
Difimicin	C4082266	antibiotic	null
fusafungin	C0060879	antibiotic	null
delpazolid	C4705585	antibiotic	null
finafloxacin	C2825286	antibiotic	null
natamycin	C0027444	antibiotic	null
BRL-284	C2830161	antibiotic	null
Amoxicillin / Clavulanate	C0054066	antibiotic	null
136-27	C3282886	antibiotic	null
Cephalosporanic Acids	C0282531	antibiotic	null
(-)-(6R,7R)-2,2-dimethylpropionyloxymethyl 7-((Z)-2-(2-aminothiazol-4-yl)-2-methoxyiminoacetamido)-3-((Z)-2-(4-methylthiazol-5-yl)ethenyl)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylate	C0526311	antibiotic	null
Spectracef	C0969483	antibiotic	null
cefditoren pivoxil	C0245519	antibiotic	null
ME 1207	C0065823	antibiotic	null
mycophenolate sodium	C1337395	antibiotic	null
Gentavet	C0699093	antibiotic	null
G-Myticin	C0699092	antibiotic	null
Garamycin	C0699088	antibiotic	null
Genticin	C0016898	antibiotic	null
NSC-3364	C0878307	antibiotic	null
U-5956	C0878306	antibiotic	null
beta-Lactams	C0282215	antibiotic	null
azithromycin monohydrate	C0886592	antibiotic	null
Zithromax	C0678143	antibiotic	null
azithromycin dihydrate	C0795582	antibiotic	null
Zentavion	C1257816	antibiotic	null
Goxal	C1257813	antibiotic	null
Vinzam	C1257815	antibiotic	null
Sumamed	C0949528	antibiotic	null
CP-62993	C0729049	antibiotic	null
Toraseptol	C1257814	antibiotic	null
Neomycin Palmitate	C0521893	antibiotic	null
neomycin sulfate	C0027607	antibiotic	null
Invanoz	C1530055	antibiotic	null
ISP-1 suppressant	C0243211	antibiotic	null
BRL-25000	C0729068	antibiotic	null
Clavulin	C0729069	antibiotic	null
Spektramox	C0729071	antibiotic	null
Synulox	C0729072	antibiotic	null
Augmentin	C0591132	antibiotic	null
BMY 28142	C0106734	antibiotic	null
Maxipime	C0284915	antibiotic	null
Quadrocef	C3496210	antibiotic	null
Axépim	C4704788	antibiotic	null
cefepime hydrochloride	C0771284	antibiotic	null
amphotericin B colloidal dispersion	C0338196	antibiotic	null
amikacin sulfate	C0002501	antibiotic	null
Amikin	C0700949	antibiotic	null
Amikacina Medical	C1257677	antibiotic	null
Amikason's	C1257681	antibiotic	null
Oprad	C1257685	antibiotic	null
Amphocil	C0700958	antibiotic	null
Amphotericin B Cholesterol Dispersion	C1412025	antibiotic	null
Fungizone	C0812405	antibiotic	null
BB-K8	C0162312	antibiotic	null
Amikacina Normon	C1257678	antibiotic	null
Amikalem	C1257680	antibiotic	null
Amikayect	C1257682	antibiotic	null
Kanbine	C1257684	antibiotic	null
Yectamid	C1257686	antibiotic	null
Gamikal	C1257683	antibiotic	null
A.M.K	C1257676	antibiotic	null
Amikafur	C1257679	antibiotic	null
Carbapenems	C0006968	antibiotic	null
Ukapen	C0002683	antibiotic	null
ampicillin trihydrate	C0700443	antibiotic	null
Amcill	C0700801	antibiotic	null
Polycillin	C0700944	antibiotic	null
Omnipen	C0700946	antibiotic	null
Pentrexyl	C0700945	antibiotic	null
ampicillin sodium	C0282052	antibiotic	null
Antibiotic KS-R1	C3489528	antibiotic	null
